market,policy,strategy,n_trades,total_profit,avg_net_return,win_rate,best_trade,worst_trade
SP500,long,open_to_open,33,-56.35308134687978,-0.017076691317236298,0.06060606060606061,0.012258408919144426,-0.07327170922883419
SP500,long,open_to_close,33,-45.1367533824518,-0.013677804055288425,0.06060606060606061,0.018706125592904854,-0.052981605404462284
SP500,long,close_to_open,33,-34.00694516154825,-0.010305134897438865,0.09090909090909091,0.01578880488333878,-0.03344529295739018
SP500,long,close_to_close,33,-22.668038973913998,-0.006869102719367877,0.21212121212121213,0.022259008891087007,-0.030396006144666088
SP500,short,open_to_open,33,-9.209934846478761,-0.0027908893474178067,0.30303030303030304,0.05425412769877358,-0.03256970880911081
SP500,short,open_to_close,33,-20.595919649135407,-0.006241187772465275,0.3333333333333333,0.03365711818538397,-0.039114952875805464
SP500,short,close_to_open,33,-31.89407602095226,-0.009664871521500683,0.12121212121212122,0.013825301807709245,-0.036153505121340634
SP500,short,close_to_close,33,-43.40449315039101,-0.0131528767122397,0.06060606060606061,0.010729891846559036,-0.042721576662753113
NASDAQ,long,open_to_open,32,-66.74058737486243,-0.02085643355464451,0.0625,0.01086808189207411,-0.07584479343507944
NASDAQ,long,open_to_close,32,-53.96082791345058,-0.016862758722953307,0.15625,0.020688422024321973,-0.04670727053798884
NASDAQ,long,close_to_open,32,-37.4503532662254,-0.011703235395695438,0.1875,0.006711183489129802,-0.04870258168092423
NASDAQ,long,close_to_close,32,-24.57408450954668,-0.007679401409233337,0.25,0.014433183097179114,-0.0403624996427383
NASDAQ,short,open_to_open,32,3.3472794239916563,0.0010460248199973925,0.40625,0.056866132069649744,-0.031158351861351186
NASDAQ,short,open_to_close,32,-9.625785153891709,-0.003008057860591159,0.375,0.027287878478502003,-0.04112723328647605
NASDAQ,short,close_to_open,32,-26.385995270263727,-0.008245623521957415,0.25,0.0293133704596642,-0.02693857670925004
NASDAQ,short,close_to_close,32,-39.45702893149661,-0.01233032154109269,0.15625,0.02084713733587762,-0.03477737836182415
DOW,long,open_to_open,35,-61.41151176158186,-0.017546146217594816,0.02857142857142857,0.0018265041270109084,-0.06474402884756081
DOW,long,open_to_close,35,-52.909636427421795,-0.01511703897926337,0.05714285714285714,0.014045974689340879,-0.0626218292836419
DOW,long,close_to_open,35,-36.395061573186474,-0.01039858902091042,0.02857142857142857,0.005617753517784818,-0.021220498885468286
DOW,long,close_to_close,35,-27.846091734911003,-0.007956026209974572,0.17142857142857143,0.017883466678144222,-0.03455526518572949
DOW,short,open_to_open,35,-8.10016734891498,-0.002314333528261422,0.22857142857142856,0.045597458641750244,-0.021980012270039317
DOW,short,open_to_close,35,-16.730641034762083,-0.004780183152789167,0.22857142857142856,0.04344315894049178,-0.03438431308581835
DOW,short,close_to_open,35,-33.49501337738635,-0.009570003822110386,0.02857142857142857,0.001415596959567722,-0.02582860764664896
DOW,short,close_to_close,35,-42.17329391319788,-0.012049512546627967,0.11428571428571428,0.014952063343509847,-0.038279850520476444
HANGSENG,long,open_to_open,38,-70.85155098228908,-0.01864514499533923,0.05263157894736842,0.013622046792503673,-0.09342356684598185
HANGSENG,long,open_to_close,38,-66.74265914287889,-0.01756385766917866,0.13157894736842105,0.01530011346639859,-0.1328593264214507
HANGSENG,long,close_to_open,38,-46.88125836352443,-0.012337173253559059,0.13157894736842105,0.01588396047198115,-0.10181887580184568
HANGSENG,long,close_to_close,38,-42.70512207023521,-0.011238190018482952,0.2631578947368421,0.02063212470264575,-0.14088944235724743
HANGSENG,short,open_to_open,38,-4.555103419407314,-0.0011987114261598193,0.3684210526315789,0.07471079990930729,-0.0339539729062055
HANGSENG,short,open_to_close,38,-8.726145866423568,-0.0022963541753746246,0.34210526315789475,0.11474306007783452,-0.03565742181634857
HANGSENG,short,close_to_open,38,-28.887967823698617,-0.0076020967957101645,0.15789473684210525,0.08323309530653766,-0.03625010002206097
HANGSENG,short,close_to_close,38,-33.12727185617827,-0.008717703120046912,0.23684210526315788,0.12289463858895866,-0.04107008441823079
